GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
karteikarten-app,com.lernkartenapp.util,JwtUtil,43,0,0,0,12,0,3,0,3,0
karteikarten-app,com.lernkartenapp.security,JwtRequestFilter,55,0,8,0,14,0,6,0,2,0
karteikarten-app,com.lernkartenapp,KarteikartenAppApplication,8,0,0,0,3,0,2,0,2,0
karteikarten-app,com.lernkartenapp.model,User,0,24,0,0,0,10,0,7,0,7
karteikarten-app,com.lernkartenapp.model,Karteikarte,4,37,0,0,2,15,1,10,1,10
karteikarten-app,com.lernkartenapp.model,Karteibox,4,34,0,0,2,14,1,10,1,10
karteikarten-app,com.lernkartenapp.controller,KarteiboxController,22,35,3,1,5,9,3,4,1,4
karteikarten-app,com.lernkartenapp.controller,KarteikarteController,0,37,0,0,0,9,0,6,0,6
karteikarten-app,com.lernkartenapp.controller,UserController,0,33,0,2,0,8,0,5,0,4
karteikarten-app,com.lernkartenapp.service,KarteikarteService,0,105,0,2,0,20,0,10,0,9
karteikarten-app,com.lernkartenapp.service,KarteiboxService,0,74,0,4,0,17,0,8,0,6
karteikarten-app,com.lernkartenapp.service,UserService,0,87,1,5,0,16,1,7,0,5
karteikarten-app,com.lernkartenapp.config,WebConfig,47,0,0,0,7,0,2,0,2,0
karteikarten-app,com.lernkartenapp.config,SecurityConfig,97,0,0,0,19,0,4,0,4,0
